study,arm,rep,capsule,iter,total_ms
matched,full_stack_ovl,2,298e10f2,7,47.1
matched,full_stack_ovl,2,298e10f2,8,48.362
matched,full_stack_ovl,2,298e10f2,9,49.368
matched,full_stack_ovl_pv3c_14,2,298e10f2,0,50.395
matched,full_stack_ovl_pv3c_14,2,298e10f2,1,48.863
matched,full_stack_ovl_pv3c_14,2,298e10f2,2,47.844
matched,full_stack_ovl_pv3c_14,2,298e10f2,3,47.301
matched,full_stack_ovl_pv3c_14,2,298e10f2,4,47.884
matched,full_stack_ovl_pv3c_14,2,298e10f2,5,46.409
matched,full_stack_ovl_pv3c_14,2,298e10f2,6,44.357
matched,full_stack_ovl_pv3c_14,2,298e10f2,7,46.243
matched,full_stack_ovl_pv3c_14,2,298e10f2,8,48.064
matched,full_stack_ovl_pv3c_14,2,298e10f2,9,44.307
matched,placement_swap_seq,3,9114f96f,0,52.766
matched,placement_swap_seq,3,9114f96f,1,47.577
matched,placement_swap_seq,3,9114f96f,2,46.55
matched,placement_swap_seq,3,9114f96f,3,46.951
matched,placement_swap_seq,3,9114f96f,4,46.268
matched,placement_swap_seq,3,9114f96f,5,45.735
matched,placement_swap_seq,3,9114f96f,6,47.518
matched,placement_swap_seq,3,9114f96f,7,47.838
matched,placement_swap_seq,3,9114f96f,8,50.219
matched,placement_swap_seq,3,9114f96f,9,49.079
matched,placement_swap_seq_pv3c_14,3,9114f96f,0,50.491
matched,placement_swap_seq_pv3c_14,3,9114f96f,1,45.147
matched,placement_swap_seq_pv3c_14,3,9114f96f,2,48.427
matched,placement_swap_seq_pv3c_14,3,9114f96f,3,46.898
matched,placement_swap_seq_pv3c_14,3,9114f96f,4,48.892
matched,placement_swap_seq_pv3c_14,3,9114f96f,5,47.945
matched,placement_swap_seq_pv3c_14,3,9114f96f,6,47.037
matched,placement_swap_seq_pv3c_14,3,9114f96f,7,47.927
matched,placement_swap_seq_pv3c_14,3,9114f96f,8,47.889
matched,placement_swap_seq_pv3c_14,3,9114f96f,9,45.588
matched,full_stack_seq,3,9114f96f,0,51.585
matched,full_stack_seq,3,9114f96f,1,47.826
matched,full_stack_seq,3,9114f96f,2,46.054
matched,full_stack_seq,3,9114f96f,3,45.292
matched,full_stack_seq,3,9114f96f,4,49.0
matched,full_stack_seq,3,9114f96f,5,47.035
matched,full_stack_seq,3,9114f96f,6,50.1
matched,full_stack_seq,3,9114f96f,7,48.951
matched,full_stack_seq,3,9114f96f,8,44.579
matched,full_stack_seq,3,9114f96f,9,48.121
matched,full_stack_seq_pv3c_14,3,9114f96f,0,52.306
matched,full_stack_seq_pv3c_14,3,9114f96f,1,44.415
matched,full_stack_seq_pv3c_14,3,9114f96f,2,46.568
matched,full_stack_seq_pv3c_14,3,9114f96f,3,46.87
matched,full_stack_seq_pv3c_14,3,9114f96f,4,47.17
matched,full_stack_seq_pv3c_14,3,9114f96f,5,47.881
matched,full_stack_seq_pv3c_14,3,9114f96f,6,46.359
matched,full_stack_seq_pv3c_14,3,9114f96f,7,46.525
matched,full_stack_seq_pv3c_14,3,9114f96f,8,46.355
matched,full_stack_seq_pv3c_14,3,9114f96f,9,45.761
matched,full_stack_ovl,3,9114f96f,0,49.073
matched,full_stack_ovl,3,9114f96f,1,48.993
