layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,32,18.699,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,32,18.986,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused_eager_early,64,44.221,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused_eager_early,64,43.931,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_eager_early,64,44.473,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused_early,1,1.238,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_early,1,1.244,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_early,1,1.239,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_early,2,1.673,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_early,2,1.678,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_early,2,1.679,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_early,4,2.588,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_early,4,2.642,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_early,4,2.772,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_early,8,4.469,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_early,8,4.669,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_early,8,4.427,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_early,16,9.154,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_early,16,8.896,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_early,16,8.845,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_early,32,19.227,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused_early,32,19.341,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused_early,32,19.398,20260816-163134_perlmutter_c914e099
