model,variant,budget,topic,status,total_ms,e2e_ms
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,high_school_psycholo,ok,7.338,5.521
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,high_school_world_hi,ok,7.253,5.391
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,philosophy,ok,7.161,5.281
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,4,professional_law,ok,7.318,5.446
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,clinical_knowledge,ok,10.331,8.433
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,college_mathematics,ok,10.449,8.477
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,electrical_engineeri,ok,10.73,8.673
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,execution,ok,10.433,8.566
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,high_school_psycholo,ok,10.474,8.544
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,high_school_world_hi,ok,10.453,8.453
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,philosophy,ok,10.484,8.45
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,8,professional_law,ok,10.698,8.701
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,clinical_knowledge,ok,16.054,13.947
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,college_mathematics,ok,16.071,13.99
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,electrical_engineeri,ok,16.304,14.151
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,execution,ok,16.452,14.25
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,high_school_psycholo,ok,16.008,14.024
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,high_school_world_hi,ok,16.657,14.393
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,philosophy,ok,15.887,14.053
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,16,professional_law,ok,16.741,14.503
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,clinical_knowledge,ok,28.025,25.235
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,college_mathematics,ok,27.186,24.335
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,electrical_engineeri,ok,28.285,25.678
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,execution,ok,28.916,26.065
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,high_school_psycholo,ok,28.05,25.272
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,high_school_world_hi,ok,28.593,25.727
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,philosophy,ok,27.847,25.327
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,32,professional_law,ok,28.335,25.598
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,64,clinical_knowledge,ok,50.508,47.284
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,64,college_mathematics,ok,49.276,46.259
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,64,electrical_engineeri,ok,50.239,47.03
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,64,execution,ok,52.814,49.695
Kimi-K2,ours_l01_s2_swap_force_p2p_r2,64,high_school_psycholo,ok,51.872,48.673
