baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
EPIC,epic_l01_hc_m1,K2,8,8,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b8_k8_isolated,0,22.185,8.809,0.032,13.395,2.399,0.412,24.803,21.902,23.403,
EPIC,epic_l01_hc_m1,K2,8,16,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b16_k8_isolated,0,30.639,13.702,0.055,16.877,2.477,0.365,33.378,29.361,31.09,
EPIC,epic_l01_hc_m1,K2,8,32,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b32_k8_isolated,0,50.834,23.937,0.118,26.741,3.408,0.543,54.651,49.01,54.431,
EPIC,epic_l01_hc_m1,K2,8,64,ok,20260823-171338_perlmutter_4e9784eb,epic_l01_hc_m1_trace-610042_b64_k8_isolated,0,90.486,43.176,0.228,47.379,5.36,0.487,96.038,88.315,96.5,
EPIC,epic_l01_hc_m1,K2,16,1,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b1_k8_isolated,0,45.788,9.733,0.008,36.065,2.257,0.604,48.331,42.262,46.38,
EPIC,epic_l01_hc_m1,K2,16,2,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b2_k8_isolated,0,43.147,10.115,0.012,33.064,2.25,0.786,45.727,42.721,44.057,
EPIC,epic_l01_hc_m1,K2,16,4,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b4_k8_isolated,0,45.32,11.279,0.017,34.063,2.228,0.743,48.007,44.851,47.137,
EPIC,epic_l01_hc_m1,K2,16,8,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b8_k8_isolated,0,49.843,13.658,0.03,36.184,2.437,0.732,52.678,48.703,51.432,
EPIC,epic_l01_hc_m1,K2,16,16,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b16_k8_isolated,0,63.336,19.914,0.063,42.783,3.313,0.649,66.895,61.717,64.714,
EPIC,epic_l01_hc_m1,K2,16,32,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b32_k8_isolated,0,86.387,34.007,0.109,52.204,4.916,0.784,91.909,84.185,93.47,
EPIC,epic_l01_hc_m1,K2,16,64,ok,20260823-174739_perlmutter_b1854c98,epic_l01_hc_m1_trace-610042_b64_k8_isolated,0,139.598,62.831,0.2,77.319,8.98,0.957,148.797,137.767,167.978,
EPIC,epic_l01_hc_m1,Qwen,4,1,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b1_k8_isolated,0,5.491,3.409,0.009,2.08,2.429,0.269,8.114,5.44,5.743,
EPIC,epic_l01_hc_m1,Qwen,4,2,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b2_k8_isolated,0,5.985,3.696,0.014,2.274,2.419,0.296,8.602,5.91,6.192,
EPIC,epic_l01_hc_m1,Qwen,4,4,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b4_k8_isolated,0,7.505,4.569,0.021,2.903,2.5,0.294,10.108,7.345,7.945,
EPIC,epic_l01_hc_m1,Qwen,4,8,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b8_k8_isolated,0,10.312,5.942,0.041,4.252,2.502,0.295,12.971,10.003,10.826,
EPIC,epic_l01_hc_m1,Qwen,4,16,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b16_k8_isolated,0,16.762,9.172,0.074,7.504,2.137,0.651,19.479,16.207,16.996,
EPIC,epic_l01_hc_m1,Qwen,4,32,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b32_k8_isolated,0,29.635,15.818,0.143,13.478,3.42,0.293,33.242,28.785,30.653,
EPIC,epic_l01_hc_m1,Qwen,4,64,ok,20260823-165021_perlmutter_fae295f9,epic_l01_hc_m1_trace-a2e8ab_b64_k8_isolated,0,57.532,30.249,0.309,26.719,5.37,0.592,62.991,56.613,58.815,
EPIC,epic_l01_hc_m1,Qwen,8,1,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b1_k8_isolated,0,10.969,4.876,0.008,6.112,2.436,0.355,13.534,10.563,13.395,
EPIC,epic_l01_hc_m1,Qwen,8,2,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b2_k8_isolated,0,11.787,5.274,0.013,6.505,2.353,0.347,14.37,11.68,11.925,
EPIC,epic_l01_hc_m1,Qwen,8,4,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b4_k8_isolated,0,13.217,6.242,0.019,6.996,2.156,0.686,15.782,13.003,13.548,
EPIC,epic_l01_hc_m1,Qwen,8,8,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b8_k8_isolated,0,17.945,8.378,0.036,9.519,2.44,0.327,20.614,17.538,18.561,
EPIC,epic_l01_hc_m1,Qwen,8,16,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b16_k8_isolated,0,27.224,13.194,0.064,13.974,3.207,0.44,30.709,25.914,28.483,
EPIC,epic_l01_hc_m1,Qwen,8,32,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b32_k8_isolated,0,48.365,23.975,0.13,24.303,4.942,0.522,53.529,46.718,50.195,
EPIC,epic_l01_hc_m1,Qwen,8,64,ok,20260823-171600_perlmutter_08930a53,epic_l01_hc_m1_trace-a2e8ab_b64_k8_isolated,0,91.284,45.448,0.223,45.577,8.474,0.634,99.988,88.535,94.317,
EPIC,epic_l01_hc_m1,Qwen,16,1,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b1_k8_isolated,0,30.629,9.571,0.009,21.028,2.257,0.757,33.205,30.046,31.618,
EPIC,epic_l01_hc_m1,Qwen,16,2,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b2_k8_isolated,0,30.161,9.943,0.012,20.28,2.079,0.754,32.704,29.688,31.243,
EPIC,epic_l01_hc_m1,Qwen,16,4,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b4_k8_isolated,0,31.224,11.032,0.02,20.111,2.284,0.739,33.75,30.738,33.723,
EPIC,epic_l01_hc_m1,Qwen,16,8,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b8_k8_isolated,0,37.045,13.979,0.044,23.028,2.956,0.734,40.42,36.385,37.668,
EPIC,epic_l01_hc_m1,Qwen,16,16,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b16_k8_isolated,0,49.104,20.163,0.067,28.927,4.605,0.81,54.206,48.265,51.627,
EPIC,epic_l01_hc_m1,Qwen,16,32,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b32_k8_isolated,0,75.686,34.791,0.109,40.471,8.164,0.715,84.028,73.228,79.244,
EPIC,epic_l01_hc_m1,Qwen,16,64,ok,20260823-175143_perlmutter_192df5de,epic_l01_hc_m1_trace-a2e8ab_b64_k8_isolated,0,137.103,68.122,0.255,69.154,15.518,0.756,152.25,133.386,145.733,
