nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,K2,fast_gemm,FAST + GEMM,1,10.772,10.77,iter_max_median,l01_fast,fast,20260829-114622_perlmutter_e7ef30e3,l01_fast_trace-610042_b1_k8_e2e,fast-split,25bc4d2d3,
4,K2,fast_gemm,FAST + GEMM,2,12.604,12.60,iter_max_median,l01_fast,fast,20260829-133740_perlmutter_ff3902f4,l01_fast_trace-610042_b2_k8_e2e,fast-split,7b68b1329,
4,K2,fast_gemm,FAST + GEMM,4,16.131,16.13,iter_max_mean,l01_fast,fast,20260829-133740_perlmutter_ff3902f4,l01_fast_trace-610042_b4_k8_e2e,fast-split,7b68b1329,
4,K2,fast_gemm,FAST + GEMM,16,35.680,16.13,iter_max_median,l01_fast,fast,20260829-133740_perlmutter_ff3902f4,l01_fast_trace-610042_b16_k8_e2e,fast-split,7b68b1329,recorded_16.13_transcription_error
4,K2,fast_gemm,FAST + GEMM,64,119.894,119.89,iter_max_median,l01_fast,fast,20260829-133740_perlmutter_ff3902f4,l01_fast_trace-610042_b64_k8_e2e,fast-split,7b68b1329,
4,K2,comet,Comet,1,4.037,4.04,iter_max_median,l01_allgather_dense,flux,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b1_k8_isolated,main,fc8e47070,
4,K2,comet,Comet,2,4.722,4.72,iter_max_median,l01_allgather_dense,flux,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b2_k8_isolated,main,fc8e47070,
4,K2,comet,Comet,4,6.257,6.26,iter_max_median,l01_allgather_dense,flux,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b4_k8_isolated,main,fc8e47070,
4,K2,comet,Comet,16,16.286,16.29,iter_max_median,l01_allgather_dense,flux,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b16_k8_isolated,main,fc8e47070,
4,K2,comet,Comet,64,63.722,63.72,iter_max_median,l01_allgather_dense,flux,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b64_k8_isolated,main,fc8e47070,
4,K2,moonep,MoonEP,1,14.654,14.65,iter_max_median,moonep_l01_nvshmem_getmem,moonep,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,main,fc8e47070,
4,K2,moonep,MoonEP,2,18.562,18.56,iter_max_median,moonep_l01_nvshmem_getmem,moonep,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,main,fc8e47070,
4,K2,moonep,MoonEP,4,24.449,24.45,iter_max_median,moonep_l01_nvshmem_getmem,moonep,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,main,fc8e47070,
4,K2,moonep,MoonEP,16,43.796,43.80,iter_max_median,moonep_l01_nvshmem_getmem,moonep,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,main,fc8e47070,
4,K2,moonep,MoonEP,64,117.942,117.94,iter_max_median,moonep_l01_nvshmem_getmem,moonep,20260824-155243_perlmutter_3681d4a5,moonep_l01_nvshmem_getmem_trace-610042_b64_k8_isolated,main,fc8e47070,
4,K2,eplb,EPLB,1,7.937,7.94,iter_max_median,eplb_l01,eplb,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b1_k8_isolated,main,fc8e47070,
4,K2,eplb,EPLB,2,9.612,9.61,iter_max_median,eplb_l01,eplb,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b2_k8_isolated,main,fc8e47070,
4,K2,eplb,EPLB,4,13.916,13.92,iter_max_median,eplb_l01,eplb,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b4_k8_isolated,main,fc8e47070,
4,K2,eplb,EPLB,16,37.301,37.30,iter_max_median,eplb_l01,eplb,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b16_k8_isolated,main,fc8e47070,
4,K2,eplb,EPLB,64,131.300,131.30,iter_max_median,eplb_l01,eplb,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b64_k8_isolated,main,fc8e47070,
4,K2,epic,EPIC,1,8.042,8.04,iter_max_median,epic_l01_hc_m1,epic,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b1_k8_isolated,main,fc8e47070,
4,K2,epic,EPIC,2,8.562,8.56,iter_max_median,epic_l01_hc_m1,epic,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b2_k8_isolated,main,fc8e47070,
4,K2,epic,EPIC,4,10.405,10.41,iter_max_median,epic_l01_hc_m1,epic,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b4_k8_isolated,main,fc8e47070,
